月份,制造业-指数,制造业-同比增长,非制造业-指数,非制造业-同比增长
2026年05月份,50.0,1.01010101,50.1,-0.39761431
2026年04月份,50.3,2.65306122,49.4,-1.98412698
2026年03月份,50.4,-0.1980198,50.1,-1.37795276
2026年02月份,49.0,-2.39043825,49.5,-1.78571429
2026年01月份,49.3,0.40733198,49.4,-1.5936255
2025年12月份,50.1,0.0,50.2,-3.83141762
2025年11月份,49.2,-2.18687873,49.5,-1.0
2025年10月份,49.0,-2.19560878,50.1,-0.19920319
2025年09月份,49.8,0.0,50.0,0.0
2025年08月份,49.4,0.61099796,50.3,0.0
2025年07月份,49.3,-0.20242915,50.1,-0.19920319
2025年06月份,49.7,0.4040404,50.5,0.0
2025年05月份,49.5,0.0,50.3,-1.56555773
2025年04月份,49.0,-2.77777778,50.4,-1.5625
2025年03月份,50.5,-0.59055118,50.8,-4.1509434
2025年02月份,50.2,2.24032587,50.4,-1.94552529
2025年01月份,49.1,-0.20325203,50.2,-0.98619329
2024年12月份,50.1,2.24489796,52.2,3.57142857
2024年11月份,50.3,1.82186235,50.0,-0.39840637
2024年10月份,50.1,1.21212121,50.2,-0.79051383
2024年09月份,49.8,-0.79681275,50.0,-3.28820116
2024年08月份,49.1,-1.20724346,50.3,-1.37254902
2024年07月份,49.4,0.20283976,50.2,-2.52427184
2024年06月份,49.5,1.02040816,50.5,-5.07518797
2024年05月份,49.5,1.43442623,51.1,-6.23853211
2024年04月份,50.4,2.43902439,51.2,-9.21985816
2024年03月份,50.8,-2.1194605,53.0,-8.9347079
2024年02月份,49.1,-6.6539924,51.4,-8.70337478
2024年01月份,49.2,-1.79640719,50.7,-6.80147059
2023年12月份,49.0,4.25531915,50.4,21.15384615
2023年11月份,49.4,2.91666667,50.2,7.49464668
2023年10月份,49.5,0.6097561,50.6,3.90143737
2023年09月份,50.2,0.1996008,51.7,2.17391304
2023年08月份,49.7,0.60728745,51.0,-3.0418251
2023年07月份,49.3,0.6122449,51.5,-4.27509294
2023年06月份,49.0,-2.39043825,53.2,-2.74223035
2023年05月份,48.8,-1.61290323,54.5,14.0167364
2023年04月份,49.2,3.79746835,56.4,34.60620525
2023年03月份,51.9,4.84848485,58.2,20.24793388
2023年02月份,52.6,4.78087649,56.3,9.10852713
2023年01月份,50.1,0.0,54.4,6.45792564
2022年12月份,47.0,-6.56063618,41.6,-21.0626186
2022年11月份,48.0,-4.19161677,46.7,-10.70745698
2022年10月份,49.2,0.0,48.7,-7.0610687
2022年09月份,50.1,1.00806452,50.6,-4.88721805
2022年08月份,49.4,-1.39720559,52.6,10.73684211
2022年07月份,49.0,-2.77777778,53.8,0.9380863
2022年06月份,50.2,-1.37524558,54.7,2.24299065
2022年05月份,49.6,-2.74509804,47.8,-13.4057971
2022年04月份,47.4,-7.2407045,41.9,-23.67941712
2022年03月份,49.5,-4.62427746,48.4,-14.03197158
2022年02月份,50.2,-0.79051383,51.6,0.38910506
2022年01月份,50.1,-2.33918129,51.1,-2.48091603
2021年12月份,50.3,-3.08285164,52.7,-5.38599641
2021年11月份,50.1,-3.83877159,52.3,-7.26950355
2021年10月份,49.2,-4.28015564,52.4,-6.76156584
2021年09月份,49.6,-3.68932039,53.2,-4.83005367
2021年08月份,50.1,-1.76470588,47.5,-13.94927536
2021年07月份,50.4,-1.36986301,53.3,-1.66051661
2021年06月份,50.9,0.0,53.5,-1.65441176
2021年05月份,51.0,0.79051383,55.2,2.98507463
2021年04月份,51.1,0.59055118,54.9,3.19548872
2021年03月份,51.9,-0.19230769,56.3,7.64818356
2021年02月份,50.6,41.73669468,51.4,73.64864865
2021年01月份,51.3,2.6,52.4,-3.14232902
2020年12月份,51.9,3.38645418,55.7,4.11214953
2020年11月份,52.1,3.78486056,56.4,3.67647059
2020年10月份,51.4,4.25963489,56.2,6.43939394
2020年09月份,51.5,3.41365462,55.9,4.09683426
2020年08月份,51.0,3.03030303,55.2,2.60223048
2020年07月份,51.1,2.81690141,54.2,0.9310987
2020年06月份,50.9,3.03643725,54.4,0.36900369
2020年05月份,50.6,2.4291498,53.6,-1.28913444
2020年04月份,50.8,1.39720559,53.2,-2.02578269
2020年03月份,52.0,2.97029703,52.3,-4.5620438
2020年02月份,35.7,-27.43902439,29.6,-45.48802947
2020年01月份,50.0,1.01010101,54.1,-1.09689214
2019年12月份,50.2,1.6194332,53.5,-0.55762082
2019年11月份,50.2,0.4,54.4,1.87265918
2019年10月份,49.3,-1.79282869,52.8,-2.04081633
2019年09月份,49.8,-1.96850394,53.7,-2.18579235
2019年08月份,49.5,-3.50877193,53.8,-0.73800738
2019年07月份,49.7,-2.9296875,53.7,-0.55555556
2019年06月份,49.4,-4.0776699,54.2,-1.45454545
2019年05月份,49.4,-4.81695568,54.3,-1.09289617
2019年04月份,50.1,-2.52918288,54.3,-0.91240876
2019年03月份,50.5,-1.94174757,54.8,0.36630037
2019年02月份,49.2,-2.18687873,54.3,-0.18382353
2019年01月份,49.5,-3.50877193,54.7,-1.08499096
2018年12月份,49.4,-4.26356589,53.8,-2.18181818
2018年11月份,50.0,-3.47490347,53.4,-2.55474453
2018年10月份,50.2,-2.71317829,53.9,-0.73664825
2018年09月份,50.8,-3.05343511,54.9,-0.90252708
2018年08月份,51.3,-0.77369439,54.2,1.49812734
2018年07月份,51.2,-0.38910506,54.0,-0.91743119
2018年06月份,51.5,-0.3868472,55.0,0.18214936
2018年05月份,51.9,1.3671875,54.9,0.73394495
2018年04月份,51.4,0.390625,54.8,1.48148148
2018年03月份,51.5,-0.57915058,54.6,-0.90744102
2018年02月份,50.3,-2.51937984,54.4,0.36900369
2018年01月份,51.3,0.0,55.3,1.28205128
2017年12月份,51.6,0.38910506,55.0,0.91743119
2017年11月份,51.8,0.1934236,54.8,0.18281536
2017年10月份,51.6,0.78125,54.3,0.55555556
2017年09月份,52.4,3.96825397,55.4,3.16573557
2017年08月份,51.7,2.57936508,53.4,-0.18691589
2017年07月份,51.4,3.00601202,54.5,1.11317254
2017年06月份,51.7,3.4,54.9,2.23463687
2017年05月份,51.2,2.19560878,54.5,2.63653484
2017年04月份,51.2,2.19560878,54.0,0.93457944
2017年03月份,51.8,3.187251,55.1,2.41635688
2017年02月份,51.6,5.30612245,54.2,2.84629981
2017年01月份,51.3,3.84615385,54.6,2.05607477
2016年12月份,51.4,3.42052314,54.5,0.18382353
2016年11月份,51.7,4.23387097,54.7,2.05223881
2016年10月份,51.2,2.81124498,54.0,1.69491525
2016年09月份,50.4,1.20481928,53.7,0.56179775
2016年08月份,50.4,1.4084507,53.5,0.18726592
2016年07月份,49.9,-0.2,53.9,0.0
2016年06月份,50.0,-0.39840637,53.7,-0.18587361
2016年05月份,50.1,-0.19920319,53.1,-0.18796992
2016年04月份,50.1,0.0,53.5,0.18726592
2016年03月份,50.2,0.1996008,53.8,0.18621974
2016年02月份,49.0,-1.80360721,52.7,-2.22634508
2016年01月份,49.4,-0.80321285,53.5,-0.37243948
2015年12月份,49.7,-0.79840319,54.4,0.55452865
2015年11月份,49.6,-1.3916501,53.6,-0.55658627
2015年10月份,49.8,-1.96850394,53.1,-1.30111524
2015年09月份,49.8,-2.54403131,53.4,-1.11111111
2015年08月份,49.7,-2.73972603,53.4,-1.83823529
2015年07月份,50.0,-3.28820116,53.9,-0.55350554
2015年06月份,50.2,-1.56862745,53.8,-2.18181818
2015年05月份,50.2,-1.18110236,53.2,-4.14414414
2015年04月份,50.1,-0.5952381,53.4,-2.55474453
2015年03月份,50.1,-0.39761431,53.7,-1.46788991
2015年02月份,49.9,-0.59760956,53.9,-2.0
2015年01月份,49.8,-1.38613861,53.7,0.56179775
2014年12月份,50.1,-1.76470588,54.1,-0.91575092
2014年11月份,50.3,-2.14007782,53.9,-3.75
2014年10月份,50.8,-1.16731518,53.8,-4.44049734
2014年09月份,51.1,0.0,54.0,-2.52707581
2014年08月份,51.1,0.19607843,54.4,0.92764378
