日期,O/N-定价,O/N-涨跌幅,1W-定价,1W-涨跌幅,2W-定价,2W-涨跌幅,1M-定价,1M-涨跌幅,3M-定价,3M-涨跌幅,6M-定价,6M-涨跌幅,9M-定价,9M-涨跌幅,1Y-定价,1Y-涨跌幅
2015-05-08,1.443,,2.334,,2.834,,3.211,,3.7985,,4.1831,,4.396,,4.5,
2017-03-17,2.633,119.0,2.725,39.1,3.236,40.2,4.2775,106.65,4.3507,55.22,4.2909,10.78,4.134,-26.2,4.1246,-37.54
2017-03-20,2.6325,-0.05,2.7471,2.21,3.269,3.3,4.3172,3.97,4.3711,2.04,4.3091,1.82,4.1504,1.64,4.1435,1.89
2017-03-21,2.6477,1.52,2.768,2.09,3.307,3.8,4.3558,3.86,4.3846,1.35,4.3218,1.27,4.1621,1.17,4.1559,1.24
2017-03-22,2.6507,0.3,2.791,2.3,3.3372,3.02,4.3959,4.01,4.4077,2.31,4.346,2.42,4.1713,0.92,4.1649,0.9
2017-03-23,2.657,0.63,2.807,1.6,3.365,2.78,4.4475,5.16,4.4396,3.19,4.3592,1.32,4.1772,0.59,4.1717,0.68
2017-03-24,2.604,-5.3,2.784,-2.3,3.362,-0.3,4.4581,1.06,4.4516,1.2,4.3663,0.71,4.1788,0.16,4.1835,1.18
2017-03-27,2.482,-12.2,2.7993,1.53,3.3378,-2.42,4.4296,-2.85,4.4364,-1.52,4.3597,-0.66,4.1829,0.41,4.1874,0.39
2017-03-28,2.448,-3.4,2.791,-0.83,3.3341,-0.37,4.4105,-1.91,4.423,-1.34,4.356,-0.37,4.1883,0.54,4.1918,0.44
2017-03-29,2.521,7.3,2.81,1.9,3.3544,2.03,4.3955,-1.5,4.4135,-0.95,4.353,-0.3,4.1919,0.36,4.1952,0.34
2017-03-30,2.507,-1.4,2.821,1.1,3.383,2.86,4.3843,-1.12,4.3995,-1.4,4.349,-0.4,4.1942,0.23,4.2006,0.54
2017-03-31,2.5384,3.14,2.85,2.9,3.405,2.2,4.3501,-3.42,4.393,-0.65,4.35,0.1,4.195,0.08,4.2,-0.06
2017-04-01,2.497,-4.14,2.778,-7.2,3.356,-4.9,4.317,-3.31,4.3642,-2.88,4.351,0.1,4.197,0.2,4.2,0.0
2017-04-05,2.4868,-1.02,2.74,-3.8,3.3053,-5.07,4.2525,-6.45,4.3355,-2.87,4.347,-0.4,4.197,0.0,4.2,0.0
2017-04-06,2.537,5.02,2.7506,1.06,3.2754,-2.99,4.1783,-7.42,4.3183,-1.72,4.345,-0.2,4.197,0.0,4.2,0.0
2017-04-07,2.4957,-4.13,2.741,-0.96,3.249,-2.64,4.118,-6.03,4.301,-1.73,4.339,-0.6,4.197,0.0,4.2,0.0
2017-04-10,2.442,-5.37,2.707,-3.4,3.2203,-2.87,4.0746,-4.34,4.2906,-1.04,4.332,-0.7,4.1977,0.07,4.201,0.1
2017-04-11,2.408,-3.4,2.687,-2.0,3.1897,-3.06,4.0382,-3.64,4.2774,-1.32,4.322,-1.0,4.1975,-0.02,4.201,0.0
2017-04-12,2.3885,-1.95,2.6631,-2.39,3.1637,-2.6,4.0132,-2.5,4.2653,-1.21,4.316,-0.6,4.1968,-0.07,4.2011,0.01
2017-04-13,2.413,2.45,2.6566,-0.65,3.1553,-0.84,4.0016,-1.16,4.2631,-0.22,4.3166,0.06,4.1987,0.19,4.2022,0.11
2017-04-14,2.429,1.6,2.674,1.74,3.1617,0.64,3.9972,-0.44,4.2634,0.03,4.3177,0.11,4.1989,0.02,4.2013,-0.09
2017-04-17,2.444,1.5,2.69,1.6,3.1735,1.18,3.9972,0.0,4.2609,-0.25,4.3148,-0.29,4.1989,0.0,4.2022,0.09
2017-04-18,2.486,4.2,2.7175,2.75,3.188,1.45,3.9978,0.06,4.2621,0.12,4.3145,-0.03,4.1999,0.1,4.2023,0.01
2017-04-19,2.575,8.9,2.752,3.45,3.2125,2.45,4.0008,0.3,4.2661,0.4,4.3225,0.8,4.2069,0.7,4.2113,0.9
2017-04-20,2.5987,2.37,2.758,0.6,3.2275,1.5,4.005,0.42,4.2725,0.64,4.3242,0.17,4.2096,0.27,4.2121,0.08
2017-04-21,2.6163,1.76,2.76,0.2,3.229,0.15,4.0095,0.45,4.2781,0.56,4.3254,0.12,4.2139,0.43,4.2145,0.24
2017-04-24,2.7157,9.94,2.79,3.0,3.241,1.2,4.01,0.05,4.2789,0.08,4.3276,0.22,4.2164,0.25,4.2175,0.3
2017-04-25,2.7514,3.57,2.814,2.4,3.268,2.7,4.01,0.0,4.2839,0.5,4.3288,0.12,4.2217,0.53,4.2228,0.53
2017-04-26,2.759,0.76,2.8203,0.63,3.2799,1.19,4.011,0.1,4.2884,0.45,4.3309,0.21,4.2232,0.15,4.2243,0.15
2017-04-27,2.792,3.3,2.8449,2.46,3.2935,1.36,4.0161,0.51,4.2917,0.33,4.3331,0.22,4.2244,0.12,4.2255,0.12
2017-04-28,2.819,2.7,2.8699,2.5,3.3038,1.03,4.0237,0.76,4.2974,0.57,4.3364,0.33,4.2265,0.21,4.2296,0.41
2017-05-02,2.8175,-0.15,2.873,0.31,3.317,1.32,4.027,0.33,4.3002,0.28,4.3397,0.33,4.2317,0.52,4.233,0.34
2017-05-03,2.8451,2.76,2.913,4.0,3.349,3.2,4.0361,0.91,4.3309,3.07,4.35,1.03,4.2412,0.95,4.2453,1.23
2017-05-04,2.8506,0.55,2.927,1.4,3.365,1.6,4.0436,0.75,4.3476,1.67,4.3602,1.02,4.2449,0.37,4.2503,0.5
2017-05-05,2.8348,-1.58,2.9186,-0.84,3.366,0.1,4.0469,0.33,4.3608,1.32,4.3664,0.62,4.2466,0.17,4.2512,0.09
2017-05-08,2.818,-1.68,2.9091,-0.95,3.3683,0.23,4.0447,-0.22,4.3731,1.23,4.3744,0.8,4.251,0.44,4.2555,0.43
2017-05-09,2.8199,0.19,2.9233,1.42,3.3752,0.69,4.0441,-0.06,4.3848,1.17,4.3799,0.55,4.2557,0.47,4.2612,0.57
2017-05-10,2.827,0.71,2.93,0.67,3.3805,0.53,4.0463,0.22,4.3933,0.85,4.3857,0.58,4.2623,0.66,4.2674,0.62
2017-05-11,2.813,-1.4,2.9294,-0.06,3.3846,0.41,4.0507,0.44,4.4083,1.5,4.392,0.63,4.2644,0.21,4.2715,0.41
2017-05-12,2.7911,-2.19,2.9107,-1.87,3.3872,0.26,4.0468,-0.39,4.4088,0.05,4.3952,0.32,4.2665,0.21,4.2724,0.09
2017-05-15,2.716,-7.51,2.8833,-2.74,3.389,0.18,4.0462,-0.06,4.4184,0.96,4.3996,0.44,4.2679,0.14,4.2739,0.15
2017-05-16,2.746,3.0,2.8827,-0.06,3.393,0.4,4.0477,0.15,4.4278,0.94,4.402,0.24,4.2727,0.48,4.2784,0.45
2017-05-17,2.7525,0.65,2.882,-0.07,3.397,0.4,4.0495,0.18,4.4349,0.71,4.4021,0.01,4.2765,0.38,4.2831,0.47
2017-05-18,2.7641,1.16,2.8867,0.47,3.4134,1.64,4.0525,0.3,4.4439,0.9,4.4043,0.22,4.2814,0.49,4.2864,0.33
2017-05-19,2.715,-4.91,2.88,-0.67,3.419,0.56,4.0571,0.46,4.4641,2.02,4.413,0.87,4.285,0.36,4.2925,0.61
2017-05-22,2.6745,-4.05,2.8679,-1.21,3.4366,1.76,4.061,0.39,4.4744,1.03,4.4148,0.18,4.2881,0.31,4.3024,0.99
2017-05-23,2.654,-2.05,2.8571,-1.08,3.4489,1.23,4.0624,0.14,4.4956,2.12,4.4215,0.67,4.2965,0.84,4.3137,1.13
2017-05-24,2.623,-3.1,2.8426,-1.45,3.4513,0.24,4.0643,0.19,4.5177,2.21,4.4262,0.47,4.3107,1.42,4.322,0.83
2017-05-25,2.611,-1.2,2.843,0.04,3.4576,0.63,4.0646,0.03,4.5338,1.61,4.4368,1.06,4.3251,1.44,4.3342,1.22
2017-05-26,2.609,-0.2,2.853,1.0,3.4644,0.68,4.0655,0.09,4.5424,0.86,4.4437,0.69,4.3346,0.95,4.3435,0.93
2017-05-27,2.601,-0.8,2.854,0.1,3.4664,0.2,4.0685,0.3,4.5528,1.04,4.4481,0.44,4.3414,0.68,4.3544,1.09
2017-05-31,2.6365,3.55,2.856,0.2,3.4711,0.47,4.0763,0.78,4.5641,1.13,4.4499,0.18,4.3443,0.29,4.3579,0.35
2017-06-01,2.6525,1.6,2.866,1.0,3.4738,0.27,4.1013,2.5,4.5779,1.38,4.451,0.11,4.3487,0.44,4.37,1.21
2017-06-02,2.7953,14.28,2.884,1.8,3.484,1.02,4.1892,8.79,4.6012,2.33,4.449,-0.2,4.3529,0.42,4.3773,0.73
2017-06-05,2.8167,2.14,2.894,1.0,3.493,0.9,4.283,9.38,4.6225,2.13,4.4542,0.52,4.3623,0.94,4.3862,0.89
2017-06-06,2.8419,2.52,2.8959,0.19,3.4992,0.62,4.3633,8.03,4.6577,3.52,4.4631,0.89,4.3668,0.45,4.3922,0.6
2017-06-07,2.809,-3.29,2.8919,-0.4,3.5119,1.27,4.4304,6.71,4.6988,4.11,4.4844,2.13,4.3758,0.9,4.3991,0.69
2017-06-08,2.8199,1.09,2.8939,0.2,3.526,1.41,4.5146,8.42,4.7306,3.18,4.4955,1.11,4.3836,0.78,4.406,0.69
2017-06-09,2.8275,0.76,2.8949,0.1,3.535,0.9,4.5854,7.08,4.7555,2.49,4.5056,1.01,4.3884,0.48,4.4116,0.56
2017-06-12,2.8302,0.27,2.8968,0.19,3.5495,1.45,4.6273,4.19,4.7763,2.08,4.5176,1.2,4.3891,0.07,4.4172,0.56
2017-06-13,2.832,0.18,2.9,0.32,3.557,0.75,4.6529,2.56,4.7827,0.64,4.5258,0.82,4.3949,0.58,4.4208,0.36
2017-06-14,2.825,-0.7,2.9026,0.26,3.566,0.9,4.6826,2.97,4.7827,0.0,4.5326,0.68,4.3985,0.36,4.4231,0.23
2017-06-15,2.8317,0.67,2.9047,0.21,3.569,0.3,4.6946,1.2,4.7723,-1.04,4.5353,0.27,4.4039,0.54,4.4264,0.33
2017-06-16,2.8528,2.11,2.914,0.93,3.5833,1.43,4.699,0.44,4.7613,-1.1,4.5416,0.63,4.4064,0.25,4.4297,0.33
2017-06-19,2.8635,1.07,2.9204,0.64,3.6223,3.9,4.6979,-0.11,4.747,-1.43,4.543,0.14,4.4094,0.3,4.431,0.13
2017-06-20,2.8776,1.41,2.93,0.96,3.6501,2.78,4.6584,-3.95,4.7141,-3.29,4.5389,-0.41,4.414,0.46,4.4368,0.58
2017-06-21,2.889,1.14,2.9429,1.29,3.687,3.69,4.6322,-2.62,4.688,-2.61,4.5349,-0.4,4.4181,0.41,4.4359,-0.09
2017-06-22,2.869,-2.0,2.9432,0.03,3.7333,4.63,4.607,-2.52,4.6521,-3.59,4.5306,-0.43,4.4177,-0.04,4.4342,-0.17
2017-06-23,2.81,-5.9,2.936,-0.72,3.7634,3.01,4.589,-1.8,4.63,-2.21,4.5277,-0.29,4.4167,-0.1,4.4345,0.03
2017-06-26,2.717,-9.3,2.9063,-2.97,3.764,0.06,4.5738,-1.52,4.6125,-1.75,4.521,-0.67,4.4154,-0.13,4.4369,0.24
2017-06-27,2.626,-9.1,2.8834,-2.29,3.765,0.1,4.548,-2.58,4.5833,-2.92,4.5134,-0.76,4.411,-0.44,4.433,-0.39
2017-06-28,2.5596,-6.64,2.8577,-2.57,3.762,-0.3,4.5219,-2.61,4.5522,-3.11,4.4998,-1.36,4.4086,-0.24,4.4299,-0.31
2017-06-29,2.539,-2.06,2.8507,-0.7,3.7595,-0.25,4.4955,-2.64,4.5211,-3.11,4.4833,-1.65,4.402,-0.66,4.4193,-1.06
2017-06-30,2.618,7.9,2.8455,-0.52,3.751,-0.85,4.4608,-3.47,4.5009,-2.02,4.4743,-0.9,4.4006,-0.14,4.4203,0.1
2017-07-03,2.72,10.2,2.841,-0.45,3.745,-0.6,4.4252,-3.56,4.4857,-1.52,4.47,-0.43,4.4005,-0.01,4.4193,-0.1
2017-07-04,2.6897,-3.03,2.8299,-1.11,3.7342,-1.08,4.3987,-2.65,4.4606,-2.51,4.4569,-1.31,4.4,-0.05,4.4162,-0.31
2017-07-05,2.583,-10.67,2.8028,-2.71,3.7206,-1.36,4.338,-6.07,4.4285,-3.21,4.4431,-1.38,4.4,0.0,4.413,-0.32
2017-07-06,2.5473,-3.57,2.7919,-1.09,3.708,-1.26,4.2762,-6.18,4.3876,-4.09,4.4274,-1.57,4.399,-0.1,4.4108,-0.22
2017-07-07,2.533,-1.43,2.7858,-0.61,3.699,-0.9,4.215,-6.12,4.3607,-2.69,4.41,-1.74,4.398,-0.1,4.4091,-0.17
2017-07-10,2.549,1.6,2.784,-0.18,3.693,-0.6,4.161,-5.4,4.3421,-1.86,4.4006,-0.94,4.398,0.0,4.4073,-0.18
2017-07-11,2.621,7.2,2.812,2.8,3.691,-0.2,4.1205,-4.05,4.3212,-2.09,4.3995,-0.11,4.398,0.0,4.4075,0.02
2017-07-12,2.646,2.5,2.8156,0.36,3.6918,0.08,4.0848,-3.57,4.3088,-1.24,4.3909,-0.86,4.3961,-0.19,4.4066,-0.09
