代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
bj920128,920128,胜业电气,33.28,7.68,30.0,33.280,0.000,25.6,25.7,33.28,25.5,7775095,240784198,15:30:02,145.137,5.264,270200.32,80870.4,31.99628,北交所
bj920725,920725,惠丰钻石,80.6,18.6,30.0,80.600,0.000,62.0,59.03,80.6,59.03,9462478,666940818,15:30:02,-383.81,12.238,735676.5,335053.2328,22.76282,北交所
bj920971,920971,天马新材,43.49,7.51,20.873,43.480,43.490,35.98,35.6,44.0,35.57,14529841,597537693,15:30:02,120.271,9.674,457027.720698,372721.485898,16.95375,北交所
sz300197,300197,节能铁汉,2.32,0.39,20.207,2.320,0.000,1.93,2.09,2.32,2.01,443230485,982659091,16:29:15,-3.207,-19.11,687949.15456,687931.75456,14.94763,深交所
sz300486,300486,东杰智能,29.98,5.0,20.016,29.980,0.000,24.98,25.01,29.98,24.99,65385102,1837525678,16:29:45,599.6,8.417,1430492.510128,1430062.569946,13.70741,深交所
sz301566,301566,达利凯普,37.3,6.22,20.013,37.300,0.000,31.08,31.23,37.3,30.83,33029618,1135066369,16:29:45,93.25,9.797,1492037.3,805343.71066,15.29788,深交所
sh688079,688079,美迪凯,26.76,4.46,20.0,26.760,0.000,22.3,24.76,26.76,24.71,20785769,540700001,15:00:03,-68.615,8.82,1101265.995528,1082089.993608,5.1403,上交所
sz301419,301419,阿莱德,44.88,7.48,20.0,44.880,0.000,37.4,37.29,44.88,37.17,17070201,737613795,16:29:15,84.679,6.923,673200.0,445022.226,17.21511,深交所
sz301563,301563,云汉芯城,211.7,35.28,19.998,211.700,0.000,176.42,168.06,211.7,164.45,9448214,1808351205,16:29:15,113.209,14.163,1792060.14576,405102.66315,49.37481,深交所
sz301139,301139,*ST元道,6.2,1.03,19.923,6.200,0.000,5.17,5.31,6.2,5.26,35652903,206648010,16:29:00,88.571,0.388,75380.096,47223.63176,46.80877,深交所
sh688496,688496,*ST清越,1.28,0.21,19.626,1.280,0.000,1.07,1.04,1.28,1.04,21112049,25120139,15:00:03,-5.565,0.646,57600.0,30457.0368,8.87264,上交所
bj920161,920161,龙辰科技,44.8,7.29,19.435,44.800,44.810,37.51,37.69,44.8,34.67,16077159,630329279,15:30:02,53.333,8.226,609252.85568,165306.8032,43.57091,北交所
bj920807,920807,奔朗新材,13.9,2.25,19.313,13.900,13.910,11.65,11.65,13.98,11.42,18040362,235452576,15:30:02,115.162,2.7,252813.2,171735.78158,14.60156,北交所
bj920190,920190,雷神科技,37.29,5.96,19.023,37.290,37.300,31.33,33.96,39.86,33.0,28459603,1043089464,15:30:02,162.91,4.3,372900.003729,370823.137179,28.619,北交所
sh688515,688515,裕太微,217.0,32.96,17.909,216.960,217.000,184.04,185.0,220.85,181.0,8556717,1775506246,15:00:03,-129.167,11.835,1736000.0,1081080.98,17.17547,上交所
bj920125,920125,鸿仕达,207.79,31.3,17.735,207.780,207.790,176.49,173.8,208.0,173.8,3356415,654473657,15:30:02,126.701,23.893,1166948.64,342469.898881,20.36469,北交所
bj920932,920932,科达自控,17.8,2.51,16.416,17.800,17.850,15.29,15.66,18.98,15.45,11423642,201429462,15:30:02,-21.19,3.111,187523.623,154527.39988,13.15888,北交所
sz301428,301428,世纪恒通,36.74,5.16,16.339,36.740,36.750,31.58,31.72,37.8,31.01,16360587,575956608,16:29:45,-99.647,3.008,362501.334558,258579.99607,23.24573,深交所
sz301013,301013,利和兴,53.5,7.2,15.551,53.490,53.500,46.3,45.47,53.76,44.44,71259979,3594664127,16:29:30,-74.306,18.685,1250525.3496,1012442.7633,37.65555,深交所
sz300184,300184,力源信息,18.26,2.4,15.132,18.260,18.270,15.86,15.99,19.03,15.99,290991430,5115928104,16:29:15,122.55,4.987,2101784.654772,1924611.028274,27.60819,深交所
bj920225,920225,利通科技,24.98,3.23,14.851,24.960,24.980,21.75,21.71,25.65,21.12,6908391,159627636,15:30:02,37.848,4.279,317043.397212,206789.820692,8.34527,北交所
sz300620,300620,光库科技,320.02,41.37,14.847,320.020,320.030,278.65,284.15,323.33,283.0,28590918,8737358696,16:29:00,451.368,36.169,7974275.80109,7915104.10309,11.55975,深交所
sz300835,300835,龙磁科技,195.9,25.1,14.696,195.900,195.970,170.8,172.79,197.0,166.49,8776542,1608392440,16:29:45,136.042,18.364,2336059.3086,1628794.97595,10.55581,深交所
sh688808,688808,联讯仪器,1860.0,231.23,14.197,1860.000,1862.380,1628.77,1661.34,1895.0,1642.98,2218626,3917879071,15:34:59,823.009,186.106,19096000.062,3589082.784,11.49777,上交所
sh688143,688143,长盈通,175.0,21.67,14.133,174.820,175.000,153.33,151.43,175.47,151.0,9837283,1626547991,15:00:01,921.053,16.628,2253664.035,2141552.455,8.03868,上交所
sz301682,301682,宏明电子,181.6,22.3,13.999,181.600,181.680,159.3,160.6,186.69,155.88,8033070,1382182829,16:29:15,51.942,4.412,2207336.34128,466472.66936,31.27312,深交所
sz301312,301312,智立方,133.08,16.03,13.695,133.080,133.090,117.05,118.6,135.0,118.2,7530092,955593073,16:29:15,211.238,13.055,1612671.584496,805836.19662,12.43559,深交所
bj920223,920223,荣亿精密,17.16,2.06,13.642,17.160,17.170,15.1,16.01,17.3,15.15,8899703,146345285,15:30:02,-132.0,11.311,269901.06,139997.715,10.90867,北交所
sz300285,300285,国瓷材料,58.45,6.95,13.495,58.450,58.460,51.5,51.44,59.68,50.13,144821839,8265864591,16:29:30,94.274,8.083,5827747.307655,4893610.0514,17.29773,深交所
sz300956,300956,英力股份,19.2,2.26,13.341,19.200,19.210,16.94,19.28,19.86,18.01,52396931,995024632,16:29:30,320.0,3.072,413621.1072,404068.5984,24.89728,深交所
