date,open,close,high,low,amount
2025-12-01,6.9,6.92,6.93,6.89,71134.0
2025-12-02,6.91,6.9,6.93,6.87,59615.0
2025-12-03,6.89,6.91,6.95,6.88,76892.0
2025-12-04,6.9,6.86,6.92,6.84,55282.0
2025-12-05,6.87,6.88,6.88,6.77,60775.0
2025-12-08,6.9,6.86,6.9,6.86,69846.0
2025-12-09,6.87,6.82,6.87,6.81,55793.0
2025-12-10,6.82,6.8,6.83,6.76,61309.0
2025-12-11,6.81,6.67,6.81,6.67,78242.0
2025-12-12,6.67,6.69,6.75,6.67,54469.0
2025-12-15,6.67,6.71,6.73,6.66,41771.0
2025-12-16,6.71,6.64,6.71,6.6,52933.0
2025-12-17,6.64,6.68,6.69,6.58,51552.0
2025-12-18,6.66,6.67,6.7,6.65,36799.0
2025-12-19,6.68,6.74,6.75,6.66,52284.0
2025-12-22,6.75,6.73,6.76,6.72,48937.0
2025-12-23,6.73,6.7,6.74,6.68,45965.0
2025-12-24,6.71,6.72,6.72,6.68,37585.0
2025-12-25,6.72,6.71,6.73,6.7,41960.0
2025-12-26,6.71,6.7,6.73,6.68,42399.0
2025-12-29,6.69,6.67,6.72,6.66,50106.0
2025-12-30,6.64,6.65,6.68,6.6,44582.0
2025-12-31,6.65,6.61,6.67,6.61,42356.0
2026-01-05,6.63,6.65,6.66,6.62,56510.0
2026-01-06,6.65,6.67,6.68,6.64,69715.0
2026-01-07,6.67,6.71,6.71,6.66,91876.0
2026-01-08,6.7,6.75,6.75,6.68,76117.0
2026-01-09,6.73,6.76,6.77,6.73,80850.0
2026-01-12,6.76,6.77,6.78,6.73,111769.0
2026-01-13,6.78,6.79,6.8,6.75,101594.0
2026-01-14,6.77,6.75,6.83,6.71,126200.0
2026-01-15,6.74,6.73,6.77,6.7,70191.0
2026-01-16,6.74,6.67,6.75,6.65,86941.0
2026-01-19,6.68,6.78,6.8,6.67,127309.0
2026-01-20,6.9,6.84,6.97,6.78,165521.0
2026-01-21,6.96,6.9,7.06,6.88,222539.0
2026-01-22,6.86,7.01,7.08,6.85,270220.0
2026-01-23,6.97,6.9,6.98,6.86,221966.0
2026-01-26,6.94,6.88,6.94,6.83,147972.0
2026-01-27,6.89,6.81,6.89,6.74,124090.0
2026-01-28,6.79,6.89,6.92,6.76,137708.0
2026-01-29,6.95,7.02,7.07,6.87,287846.0
2026-01-30,7.04,6.98,7.1,6.91,212658.0
2026-02-02,6.91,6.8,7.0,6.78,171606.0
2026-02-03,6.82,6.8,6.87,6.75,112826.0
2026-02-04,6.81,6.87,6.89,6.77,109284.0
2026-02-05,6.84,6.88,6.92,6.76,141594.0
2026-02-06,6.81,6.82,6.87,6.78,97843.0
2026-02-09,6.84,6.83,6.87,6.8,91818.0
