date,open,close,high,low,amount
2025-12-01,148.35,143.52,149.08,142.44,61476.0
2025-12-02,142.09,138.97,142.64,138.27,37044.0
2025-12-03,138.96,137.46,141.37,137.34,40355.0
2025-12-04,137.64,138.03,139.32,134.79,36142.0
2025-12-05,138.35,137.64,140.04,134.79,41315.0
2025-12-08,137.78,145.22,146.49,137.59,60677.0
2025-12-09,157.86,154.66,164.27,151.92,111231.0
2025-12-10,154.24,150.48,154.8,147.21,61049.0
2025-12-11,150.49,143.35,152.53,143.35,42698.0
2025-12-12,144.07,153.46,154.77,141.48,71339.0
2025-12-15,149.78,147.56,151.07,146.43,48585.0
2025-12-16,149.75,142.72,151.29,140.04,49437.0
2025-12-17,146.22,156.32,157.62,146.22,90669.0
2025-12-18,153.35,151.92,157.62,150.85,47904.0
2025-12-19,154.96,147.01,156.21,146.66,54027.0
2025-12-22,149.76,153.82,155.42,147.14,62740.0
2025-12-23,153.35,160.99,164.07,151.64,82366.0
2025-12-24,164.06,175.92,183.78,162.64,103235.0
2025-12-25,172.95,167.14,172.95,165.24,76152.0
2025-12-26,165.14,161.79,166.21,158.35,57184.0
2025-12-29,161.78,166.14,168.86,161.41,66357.0
2025-12-30,158.92,156.18,163.28,155.09,73515.0
2025-12-31,156.19,157.64,163.98,155.34,54841.0
2026-01-05,156.64,164.14,164.92,156.22,56173.0
2026-01-06,162.82,162.62,166.21,157.64,55718.0
2026-01-07,160.34,170.5,170.5,158.78,75764.0
2026-01-08,169.07,174.87,181.57,167.0,76489.0
2026-01-09,173.99,179.44,184.78,168.35,69605.0
2026-01-12,180.46,171.21,180.49,169.19,81437.0
2026-01-13,170.49,164.86,174.28,162.77,58928.0
2026-01-14,166.21,168.35,173.92,161.53,68553.0
2026-01-15,164.42,168.47,169.06,163.42,36723.0
2026-01-16,170.59,164.78,171.52,163.42,46706.0
2026-01-19,162.64,168.34,169.07,158.92,56102.0
2026-01-20,166.21,155.14,166.54,153.72,54914.0
2026-01-21,153.33,161.84,162.62,152.02,46002.0
2026-01-22,164.07,161.07,166.34,157.86,40940.0
2026-01-23,159.78,155.49,159.78,154.12,46489.0
2026-01-26,156.92,157.53,160.35,155.49,44829.0
2026-01-27,157.57,162.59,162.59,152.28,51136.0
2026-01-28,169.07,190.29,194.07,168.35,139861.0
2026-01-29,187.27,177.16,192.34,175.08,81244.0
2026-01-30,174.53,178.04,184.78,167.64,66077.0
2026-02-02,180.56,172.99,184.52,172.81,63242.0
2026-02-03,175.0,179.42,181.89,169.07,57317.0
2026-02-04,176.19,171.87,179.69,166.92,48697.0
2026-02-05,172.64,158.49,172.64,156.92,57877.0
2026-02-06,156.21,156.85,162.49,154.1,39731.0
2026-02-09,161.21,165.72,168.87,157.99,56699.0
2026-02-10,164.91,170.08,172.54,163.49,53339.0
2026-02-11,168.82,163.73,171.19,162.64,31136.0
2026-02-12,165.6,176.44,181.06,165.6,64763.0
2026-02-13,171.92,170.37,176.21,169.99,39139.0
2026-02-24,174.04,171.18,176.57,167.35,43352.0
2026-02-25,172.04,170.14,172.89,164.07,41237.0
2026-02-26,170.21,185.88,189.49,166.68,100568.0
2026-02-27,181.92,184.22,186.12,177.17,49019.0
2026-03-02,181.19,199.32,203.34,180.91,91915.0
2026-03-03,202.62,191.59,204.69,189.98,71636.0
2026-03-04,188.33,190.49,194.13,185.14,54114.0
2026-03-05,201.21,209.22,216.37,197.37,95355.0
2026-03-06,211.22,214.78,223.91,204.07,76241.0
2026-03-09,203.54,198.81,206.14,184.84,87368.0
2026-03-10,210.5,214.78,216.44,206.21,62979.0
2026-03-11,214.77,203.94,218.98,202.65,60045.0
