day,open,high,low,close,volume
2025-05-22,19.65,20.88,19.51,19.53,5659124
2025-05-23,19.56,20.62,19.31,19.7,5406813
2025-05-26,19.99,22.18,19.74,21.95,11512021
2025-05-27,22.36,22.5,21.1,21.29,9191281
2025-05-28,21.01,21.6,20.58,21.38,6278718
2025-05-29,21.1,22.59,20.97,21.56,6648149
2025-05-30,21.26,21.27,20.33,20.7,5367969
2025-06-03,20.73,20.84,20.0,20.74,3023799
2025-06-04,20.98,21.66,20.7,21.1,5702730
2025-06-05,20.75,21.0,19.98,20.06,6583245
2025-06-06,20.02,20.21,19.8,20.06,3020095
2025-06-09,20.22,20.57,19.94,20.5,3491086
2025-06-10,20.46,20.8,20.1,20.41,3477556
2025-06-11,20.51,20.69,20.27,20.36,2382244
2025-06-12,20.45,20.66,20.04,20.38,2744981
2025-06-13,20.71,21.38,20.65,20.97,7135483
2025-06-16,21.0,21.51,20.53,20.8,5556350
2025-06-17,20.48,20.71,20.11,20.6,3736420
2025-06-18,20.61,21.08,20.21,20.7,3175063
2025-06-19,20.35,20.55,19.45,19.46,4118402
2025-06-20,19.51,19.68,19.03,19.08,2618730
2025-06-23,19.29,20.27,19.12,19.9,3264710
2025-06-24,19.59,20.17,19.51,20.09,3664668
2025-06-25,20.1,20.16,19.61,19.81,3079852
2025-06-26,19.85,20.6,19.81,20.07,4081910
2025-06-27,19.95,20.25,19.88,20.09,2219652
2025-06-30,20.17,20.48,20.07,20.16,2243741
2025-07-01,20.16,20.65,19.93,20.48,2864430
2025-07-02,21.2,21.94,20.73,20.73,7377818
2025-07-03,20.54,21.33,20.48,20.68,3255160
2025-07-04,20.6,20.71,20.0,20.04,2944924
2025-07-07,20.0,20.18,19.6,19.75,2464003
2025-07-08,19.92,20.0,19.69,19.84,1911458
2025-07-09,19.9,19.98,19.52,19.56,2031235
2025-07-10,19.53,19.78,19.3,19.71,1490385
2025-07-11,19.71,19.88,19.51,19.68,1695107
2025-07-14,19.74,19.88,19.53,19.7,2636073
2025-07-15,19.69,20.15,19.6,19.78,3577091
2025-07-16,19.88,19.97,19.48,19.53,2753767
2025-07-17,19.58,19.63,19.14,19.28,2957698
2025-07-18,19.28,19.48,19.0,19.14,2402001
2025-07-21,19.46,20.4,19.1,20.33,7551520
2025-07-22,21.6,22.0,20.76,20.78,11238379
2025-07-23,21.33,22.1,20.8,20.87,9287316
2025-07-24,20.5,22.47,20.45,21.97,9652892
2025-07-25,21.55,21.89,20.7,21.05,6951456
2025-07-28,20.9,21.04,20.5,20.56,3803245
2025-07-29,20.51,21.1,20.43,21.07,3562547
2025-07-30,21.0,21.04,20.11,20.11,3892637
2025-07-31,20.16,20.26,19.54,19.68,2565215
2025-08-01,19.78,20.15,19.58,19.85,1295145
2025-08-04,19.89,20.28,19.81,19.92,2060378
2025-08-05,20.01,20.38,19.83,20.22,1895412
2025-08-06,20.43,21.99,20.33,21.83,8326419
2025-08-07,21.93,23.95,21.55,22.66,11944442
2025-08-08,22.31,23.99,22.21,22.79,9628906
2025-08-11,22.5,23.55,22.01,22.3,8615901
2025-08-12,22.24,22.38,21.7,22.03,4107403
2025-08-13,22.09,23.95,21.98,23.72,8834845
2025-08-14,23.8,23.91,22.68,22.83,5178993
2025-08-15,23.17,29.67,22.96,27.71,24387701
2025-08-18,28.42,33.01,27.08,30.6,27106914
2025-08-19,29.8,29.81,28.16,28.59,16392248
2025-08-20,28.0,28.97,27.52,28.45,9110046
2025-08-21,28.45,28.56,26.35,26.5,9793752
2025-08-22,27.0,27.2,26.35,26.7,5723950
2025-08-25,26.9,27.61,26.0,27.3,8190245
2025-08-26,25.7,25.86,24.89,25.23,11236156
2025-08-27,25.18,25.9,24.82,24.85,6729545
2025-08-28,24.75,25.55,24.56,25.55,5417509
2025-08-29,25.69,25.9,25.0,25.21,4939008
2025-09-01,24.98,25.21,24.73,25.21,4072760
2025-09-02,25.35,25.35,24.0,24.45,5122734
2025-09-03,24.42,24.8,23.93,23.98,2966606
2025-09-04,24.12,24.45,23.11,23.49,3867285
2025-09-05,23.5,24.66,23.5,24.48,3821014
2025-09-08,24.42,25.19,24.39,24.95,3364197
2025-09-09,24.61,24.94,24.01,24.08,3035126
2025-09-10,24.07,24.7,24.07,24.1,1852935
2025-09-11,24.03,25.33,23.89,24.95,4851660
2025-09-12,25.0,25.0,24.14,24.16,3718562
2025-09-15,24.12,24.18,23.6,23.81,2676045
2025-09-16,24.0,24.21,23.76,23.91,1866550
2025-09-17,24.14,24.32,23.68,23.91,2328852
2025-09-18,23.79,24.68,23.79,23.95,3754941
2025-09-19,24.18,24.2,23.35,23.44,2372719
2025-09-22,23.5,23.57,22.95,23.08,1871892
2025-09-23,23.2,23.22,22.07,22.41,2520386
2025-09-24,22.41,22.8,22.2,22.49,1492669
2025-09-25,22.5,23.25,21.87,22.03,3023819
2025-09-26,22.02,22.3,21.37,21.37,1995414
2025-09-29,21.37,21.73,21.33,21.59,1641579
2025-09-30,21.77,21.89,21.5,21.53,1260352
2025-10-09,21.53,21.96,21.1,21.9,2063506
2025-10-10,22.0,22.4,21.69,22.17,2149605
2025-10-13,21.8,28.18,21.59,27.2,21001508
2025-10-14,28.5,29.4,26.51,26.8,15683658
2025-10-15,26.27,28.6,24.92,28.6,11383445
2025-10-16,27.9,28.28,26.76,26.85,7253693
2025-10-17,26.58,31.5,26.58,31.0,16608977
2025-10-20,31.0,32.6,29.66,31.9,10884280
2025-10-21,31.91,33.76,30.93,31.02,10938552
2025-10-22,30.88,31.78,28.72,29.76,7701780
2025-10-23,29.69,32.9,29.18,31.42,7778924
2025-10-24,32.2,34.58,31.91,32.88,8673657
2025-10-27,34.13,34.88,32.08,33.55,5528454
2025-10-28,32.0,34.1,31.2,33.0,5142730
2025-10-29,32.1,42.9,31.9,42.9,13987404
2025-10-30,41.14,43.99,37.16,37.28,12654622
2025-10-31,37.35,40.43,37.32,37.9,10243518
2025-11-03,38.91,40.66,37.58,39.03,6591395
2025-11-04,38.43,40.5,36.36,39.2,7554252
2025-11-05,38.2,39.27,36.7,38.45,5265768
2025-11-06,41.0,41.33,38.51,39.18,6505349
2025-11-07,38.0,40.88,37.6,40.08,5511318
2025-11-10,40.18,46.36,39.28,42.36,7965998
2025-11-11,42.0,46.49,41.0,45.03,7104493
2025-11-12,44.9,44.9,40.39,41.93,5785399
2025-11-13,42.98,42.98,39.47,40.59,4921411
2025-11-14,39.66,46.49,39.0,43.6,9165490
2025-11-17,43.8,48.18,43.62,46.3,9415495
2025-11-18,44.68,45.99,42.0,42.88,5032215
2025-11-19,43.99,44.88,40.35,41.03,4687152
2025-11-20,41.03,42.3,39.6,40.9,6103928
2025-11-21,40.0,40.0,34.71,35.2,6562779
2025-11-24,36.25,36.89,33.09,33.19,6520286
2025-11-25,33.93,33.93,32.49,32.88,5204562
2025-11-26,33.2,34.65,32.81,32.99,3528945
2025-11-27,33.41,34.13,32.6,33.0,2967634
2025-11-28,33.99,36.26,33.11,33.31,6396667
2025-12-01,33.4,33.66,31.31,32.46,5660526
2025-12-02,32.2,33.19,31.2,32.55,3875386
2025-12-03,32.13,32.55,30.33,30.4,4990244
2025-12-04,30.0,32.59,30.0,31.42,4242506
2025-12-05,31.49,33.33,31.01,32.58,3663107
2025-12-08,32.62,34.78,31.37,33.78,3978161
2025-12-09,33.99,35.04,32.5,33.0,3114580
2025-12-10,33.1,33.18,31.7,32.33,2224865
2025-12-11,32.07,34.3,31.0,31.98,5846397
2025-12-12,31.26,32.48,30.73,31.3,3978599
2025-12-15,31.29,32.04,30.13,30.3,2516247
2025-12-16,30.49,31.19,28.07,29.0,4475956
2025-12-17,28.9,30.03,28.32,29.7,2428680
2025-12-18,29.51,29.69,28.7,29.33,3277858
2025-12-19,29.13,31.5,29.13,30.08,3463955
2025-12-22,30.2,31.1,29.68,30.72,3176517
2025-12-23,30.76,32.88,30.3,30.62,4090566
2025-12-24,30.52,33.0,30.4,32.68,4900420
2025-12-25,32.02,33.22,31.82,32.46,3481956
2025-12-26,32.47,33.6,31.89,32.22,3641077
2025-12-29,32.04,32.46,31.57,31.93,2328525
2025-12-30,31.95,33.45,31.5,32.25,3430919
2025-12-31,32.25,32.37,31.54,32.05,2969890
2026-01-05,32.25,35.18,32.25,34.98,5267157
2026-01-06,35.01,39.75,35.0,36.9,5371641
2026-01-07,36.27,39.0,36.2,38.43,4265653
2026-01-08,38.45,38.49,36.6,37.27,3505184
2026-01-09,37.14,37.37,35.45,37.03,2790654
2026-01-12,37.28,38.2,35.67,36.65,5334928
2026-01-13,36.65,37.64,35.11,35.11,4132664
2026-01-14,35.2,36.85,34.76,35.46,4387117
2026-01-15,35.07,38.7,35.07,36.81,5473796
2026-01-16,36.91,38.0,35.4,35.5,3527230
2026-01-19,35.74,36.55,35.03,35.73,2270588
2026-01-20,35.6,36.08,32.3,32.66,3928939
2026-01-21,32.9,33.88,32.3,33.15,2996871
2026-01-22,33.46,33.47,32.41,32.62,1704272
2026-01-23,32.7,34.18,32.55,33.98,2961850
2026-01-26,34.15,35.77,32.32,33.0,3355800
2026-01-27,32.5,33.43,31.0,33.09,2792577
2026-01-28,32.77,33.39,32.31,32.64,1397006
2026-01-29,32.64,34.1,31.7,33.45,3918651
2026-01-30,33.1,35.2,32.65,34.56,4168587
2026-02-02,34.39,34.39,31.42,31.72,3345701
2026-02-03,31.88,32.66,31.38,31.97,2595093
2026-02-04,31.97,32.25,30.4,30.8,2283320
2026-02-05,31.0,31.24,30.01,30.01,1471097
2026-02-06,30.0,30.48,29.85,30.0,1327771
2026-02-09,30.86,31.31,29.74,30.15,2718949
2026-02-10,30.29,30.45,29.65,29.95,1575404
2026-02-11,29.71,29.97,28.82,29.1,2204942
2026-02-12,28.99,30.35,28.99,30.1,2164544
2026-02-13,29.68,30.18,29.0,29.2,1804432
2026-02-24,29.35,29.77,29.21,29.41,1249975
2026-02-25,29.5,29.63,28.52,28.97,2407414
2026-02-26,29.0,29.56,27.78,29.11,3782509
2026-02-27,28.82,29.09,28.3,28.88,1700005
2026-03-02,29.02,33.0,29.02,31.4,6965347
2026-03-03,31.5,33.5,30.0,31.52,7732211
2026-03-04,31.0,31.38,25.0,27.69,6408963
2026-03-05,27.9,28.1,26.38,26.67,4253456
2026-03-06,26.48,26.6,25.77,26.11,1981758
2026-03-09,26.3,27.5,25.39,25.5,3167216
2026-03-10,25.39,26.36,25.01,26.29,2179464
2026-03-11,26.26,27.95,26.24,27.0,3465811
2026-03-12,26.99,27.75,26.7,27.21,1769783
2026-03-13,27.2,27.49,26.26,26.51,2207151
2026-03-16,26.5,27.19,25.52,25.75,2221045
2026-03-17,25.76,26.18,25.09,25.16,1487412
2026-03-18,25.02,25.39,24.81,25.18,1190203
2026-03-19,25.02,25.37,23.5,23.67,2300827
2026-03-20,23.6,24.68,23.6,24.02,1835017
2026-03-23,23.85,23.85,22.15,22.29,2714933
2026-03-24,22.62,22.89,21.5,22.56,1683880
2026-03-25,22.46,23.03,22.34,22.54,1403662
2026-03-26,22.52,22.74,21.57,22.15,1963382
2026-03-27,22.0,22.56,21.62,21.93,1936734
2026-03-30,21.77,24.29,21.77,23.18,3884915
2026-03-31,23.0,23.51,21.79,21.85,3278379
2026-04-01,22.5,24.24,22.05,22.93,5202251
2026-04-02,22.77,23.75,22.33,23.5,3523750
2026-04-03,23.41,25.37,23.27,24.27,4117629
2026-04-07,25.0,25.28,23.32,23.89,2954082
2026-04-08,24.7,25.13,23.85,24.97,3656365
2026-04-09,24.61,25.55,24.03,25.11,2682204
2026-04-10,24.97,28.3,24.97,27.05,5149204
2026-04-13,26.8,27.3,26.4,26.72,2866136
2026-04-14,27.25,27.25,25.86,26.15,2633057
2026-04-15,26.78,28.88,26.69,27.43,4808007
2026-04-16,27.3,28.68,27.15,28.58,3869789
2026-04-17,28.62,33.39,28.3,32.1,10724292
2026-04-20,31.59,34.69,31.3,32.35,9573273
2026-04-21,32.67,33.14,30.8,31.35,6150851
2026-04-22,31.1,31.7,30.78,30.82,4798291
2026-04-23,30.52,30.97,28.3,29.09,5439765
2026-04-24,29.12,29.16,27.85,28.09,2902932
2026-04-27,28.37,29.5,28.12,28.65,3567719
2026-04-28,27.99,27.99,26.02,26.85,4368467
2026-04-29,26.71,27.6,26.6,27.25,1875584
2026-04-30,27.9,28.2,26.71,26.82,1885382
2026-05-06,27.0,28.55,26.99,28.01,2500976
2026-05-07,28.29,29.18,27.81,28.11,3261865
2026-05-08,28.2,28.49,27.13,27.47,2746062
2026-05-11,27.88,28.08,27.22,27.33,2426702
2026-05-12,27.63,28.18,26.88,27.22,2482132
2026-05-13,27.48,27.48,25.0,25.53,6244255
2026-05-14,26.25,26.49,25.1,25.1,3217626
2026-05-15,25.23,25.65,24.54,25.12,2052137
2026-05-18,25.4,25.48,24.26,24.99,2280457
2026-05-19,25.18,25.72,24.77,25.56,1420862
2026-05-20,26.1,26.3,24.75,25.13,3075927
2026-05-21,25.42,25.42,23.99,24.01,2218765
2026-05-22,23.95,24.7,23.21,23.97,2285269
2026-05-25,24.26,24.48,22.67,23.26,2082242
2026-05-26,23.32,23.4,22.33,22.44,1667420
2026-05-27,22.24,22.96,21.11,21.28,2141506
2026-05-28,21.32,22.6,21.14,22.32,1932161
2026-05-29,22.96,24.48,21.86,22.25,6470114
2026-06-01,21.43,22.5,21.43,21.75,2704250
2026-06-02,21.71,25.65,21.12,24.98,6908391
