day,open,high,low,close,volume
2025-05-22,8.85,9.03,8.74,8.77,2993233
2025-05-23,8.8,8.87,8.66,8.68,3086837
2025-05-26,8.6,8.78,8.6,8.77,2085427
2025-05-27,8.75,9.22,8.63,9.1,8660007
2025-05-28,9.08,9.2,8.85,8.94,5022442
2025-05-29,8.99,9.14,8.95,9.13,3897267
2025-05-30,9.05,9.13,8.9,8.92,3273197
2025-06-03,8.85,9.02,8.75,8.91,2697019
2025-06-04,8.94,9.04,8.88,9.0,2211244
2025-06-05,9.01,9.31,8.93,9.27,5133036
2025-06-06,9.28,9.39,9.16,9.36,3845910
2025-06-09,9.41,9.59,9.36,9.56,4221077
2025-06-10,9.5,9.58,9.25,9.34,3539006
2025-06-11,9.41,9.52,9.29,9.29,2760957
2025-06-12,9.39,9.83,9.3,9.44,9118780
2025-06-13,9.37,9.53,9.2,9.23,4969034
2025-06-16,9.26,9.69,9.19,9.51,5944769
2025-06-17,9.49,9.79,9.46,9.54,5054741
2025-06-18,9.59,9.9,9.46,9.79,5657933
2025-06-19,9.79,9.88,9.56,9.59,5524761
2025-06-20,9.69,9.98,9.49,9.7,7678315
2025-06-23,9.69,9.84,9.55,9.82,5979576
2025-06-24,9.82,9.98,9.82,9.98,4811834
2025-06-25,10.03,10.14,9.85,10.05,6868672
2025-06-26,10.06,10.12,9.86,9.92,5036457
2025-06-27,9.95,10.04,9.9,9.99,5609583
2025-06-30,10.01,10.13,9.99,10.04,3742224
2025-07-01,10.04,10.11,9.95,10.11,3763293
2025-07-02,10.1,10.1,9.8,9.91,3704224
2025-07-03,9.96,10.12,9.86,10.09,4177809
2025-07-04,10.09,10.09,9.86,9.88,3745856
2025-07-07,9.89,10.01,9.85,9.97,3291021
2025-07-08,9.98,10.09,9.94,10.08,2868991
2025-07-09,10.12,10.15,9.91,9.93,2812006
2025-07-10,9.89,10.04,9.89,9.98,2898164
2025-07-11,9.98,10.09,9.92,10.04,2794640
2025-07-14,10.08,10.18,9.99,10.17,2641555
2025-07-15,10.23,10.24,9.98,10.08,3178873
2025-07-16,10.09,10.21,10.0,10.09,3142406
2025-07-17,10.45,10.48,10.15,10.17,5748924
2025-07-18,10.17,10.34,10.14,10.24,4364388
2025-07-21,10.3,10.64,10.18,10.61,5349589
2025-07-22,10.58,11.15,10.52,10.74,9117064
2025-07-23,10.76,10.98,10.55,10.83,6956930
2025-07-24,10.81,11.01,10.75,10.89,4666521
2025-07-25,10.91,11.3,10.83,11.23,6063160
2025-07-28,11.28,12.17,11.16,11.7,13008963
2025-07-29,11.6,11.81,11.51,11.78,8342578
2025-07-30,11.71,11.77,11.39,11.47,7609690
2025-07-31,11.4,11.88,11.39,11.46,7913079
2025-08-01,11.5,11.73,11.37,11.45,5464774
2025-08-04,11.4,11.63,11.29,11.61,5456112
2025-08-05,11.67,11.99,11.63,11.91,6453492
2025-08-06,12.0,12.0,11.82,11.9,4408693
2025-08-07,11.99,12.54,11.92,12.39,9377964
2025-08-08,12.39,12.43,11.92,12.0,6847993
2025-08-11,12.03,12.33,11.9,12.31,5527200
2025-08-12,12.24,12.44,12.16,12.26,6926207
2025-08-13,12.39,12.49,12.25,12.42,6617397
2025-08-14,12.44,12.44,11.81,11.85,7004875
2025-08-15,11.84,12.17,11.76,12.11,6096347
2025-08-18,11.92,12.33,11.83,12.26,8483690
2025-08-19,12.25,12.35,12.06,12.15,5377082
2025-08-20,12.36,12.99,12.07,12.96,16294208
2025-08-21,12.98,14.2,12.89,13.9,22649008
2025-08-22,13.95,15.15,13.6,13.66,23321419
2025-08-25,13.68,13.71,13.03,13.18,16191232
2025-08-26,13.24,13.5,12.85,13.27,8333497
2025-08-27,13.26,13.54,12.85,12.91,10520171
2025-08-28,12.91,13.28,12.69,13.27,9551666
2025-08-29,13.1,13.1,12.38,12.61,10981726
2025-09-01,12.7,12.78,12.23,12.39,11224284
2025-09-02,12.3,12.44,11.69,12.1,11571839
2025-09-03,12.18,12.35,11.95,12.06,7260483
2025-09-04,12.12,12.53,11.73,11.82,8578662
