day,open,high,low,close,volume
2025-05-22,31.9,32.5,31.55,31.67,1032500
2025-05-23,31.67,33.09,31.29,31.6,2348300
2025-05-26,31.62,32.2,31.46,32.09,1437200
2025-05-27,32.1,32.1,31.33,31.55,1339300
2025-05-28,31.73,31.96,31.22,31.32,836700
2025-05-29,31.33,32.09,31.33,31.87,1290300
2025-05-30,26.2,26.66,25.6,25.9,2084929
2025-06-03,26.03,26.17,25.68,25.9,1187260
2025-06-04,25.9,26.38,25.89,25.94,1387180
2025-06-05,25.96,26.38,25.65,26.29,1528693
2025-06-06,26.35,26.61,26.12,26.47,1541860
2025-06-09,26.48,26.76,26.31,26.5,1430028
2025-06-10,26.51,26.66,25.68,26.0,1548320
2025-06-11,26.0,26.37,25.98,26.07,1091480
2025-06-12,25.92,26.46,25.8,26.19,1231160
2025-06-13,25.91,26.34,25.35,25.41,1688820
2025-06-16,25.36,26.48,25.36,26.13,2038540
2025-06-17,26.28,26.28,25.87,26.07,1240680
2025-06-18,25.92,26.44,25.61,26.44,1441980
2025-06-19,26.46,26.7,25.9,26.01,1835380
2025-06-20,26.11,26.43,25.55,25.71,1450103
2025-06-23,25.8,26.45,25.56,26.38,1635463
2025-06-24,26.58,27.09,26.45,27.06,2374494
2025-06-25,27.19,27.28,26.69,27.03,2175151
2025-06-26,26.93,27.35,26.88,26.99,1855243
2025-06-27,26.99,27.34,26.9,27.25,1879543
2025-06-30,27.4,27.7,27.28,27.6,2039843
2025-07-01,27.78,27.99,27.1,27.43,1883200
2025-07-02,27.4,27.4,26.76,27.02,1669820
2025-07-03,27.21,27.4,27.0,27.27,1168640
2025-07-04,27.23,27.58,26.72,26.82,1751060
2025-07-07,26.56,26.96,26.53,26.95,978000
2025-07-08,26.98,27.72,26.7,27.65,2197480
2025-07-09,27.79,30.13,27.49,29.5,10181867
2025-07-10,29.11,29.77,28.42,29.61,8052948
2025-07-11,29.24,29.49,28.2,28.64,4912383
2025-07-14,28.64,30.47,28.25,30.32,8798723
2025-07-15,30.01,30.97,29.27,30.65,9055574
2025-07-16,30.09,30.52,29.6,29.7,5641384
2025-07-17,30.06,30.07,29.37,29.58,4500483
2025-07-18,29.67,30.23,29.19,29.4,3429036
2025-07-21,29.57,29.59,29.03,29.41,3069340
2025-07-22,29.41,29.66,28.8,28.93,3308980
2025-07-23,29.03,29.2,28.49,29.02,2462385
2025-07-24,28.95,29.17,28.8,29.1,2118340
2025-07-25,29.1,29.28,28.81,29.28,2493720
2025-07-28,29.3,29.88,29.15,29.46,3230480
2025-07-29,29.41,31.28,29.27,31.2,9443566
2025-07-30,30.93,31.01,29.81,30.17,5592946
2025-07-31,30.17,30.84,29.56,29.7,4474820
2025-08-01,29.75,30.35,29.7,29.87,2753300
2025-08-04,29.6,30.51,29.55,30.5,3263240
2025-08-05,30.5,31.04,30.18,31.02,3847580
2025-08-06,30.98,32.85,30.68,32.25,8588413
2025-08-07,32.21,32.77,31.51,31.97,5961817
2025-08-08,31.6,32.3,31.48,31.52,3436516
2025-08-11,31.5,33.1,31.31,32.57,6445620
2025-08-12,34.14,35.84,32.4,32.7,11187753
2025-08-13,32.4,34.7,32.21,33.78,10616322
2025-08-14,33.78,33.78,31.73,31.82,6953542
2025-08-15,31.9,32.86,31.83,32.54,4898757
2025-08-18,32.77,35.33,32.77,34.48,8881396
2025-08-19,34.5,35.8,33.83,35.22,8166880
2025-08-20,34.7,36.18,34.12,35.4,5673140
2025-08-21,35.15,35.5,33.7,34.07,5899993
2025-08-22,33.73,34.54,33.57,33.81,4182568
2025-08-25,34.09,34.23,33.16,33.55,4824045
2025-08-26,33.32,34.27,33.26,34.04,4713341
2025-08-27,34.03,36.1,33.7,33.92,9304226
2025-08-28,33.5,34.35,32.58,34.19,5660478
2025-08-29,35.59,35.97,33.87,34.33,6471446
2025-09-01,34.32,34.88,33.75,34.36,4285336
2025-09-02,34.19,34.41,32.26,33.3,4897516
2025-09-03,33.58,33.86,32.37,32.4,2651849
2025-09-04,32.58,33.62,31.08,31.56,3255780
2025-09-05,31.71,34.0,31.56,33.8,5331160
2025-09-08,33.8,34.44,33.25,33.85,2886300
2025-09-09,33.79,34.37,33.26,33.36,2872600
2025-09-10,33.48,34.56,33.33,33.87,3676663
2025-09-11,33.61,36.3,33.3,35.94,7369810
2025-09-12,35.61,35.61,34.66,34.91,5665220
2025-09-15,34.83,35.16,34.16,34.7,3272698
2025-09-16,35.6,38.45,35.26,37.49,11892321
2025-09-17,36.79,39.48,36.71,38.31,12830836
2025-09-18,37.93,39.1,36.9,37.38,9096170
2025-09-19,37.38,38.13,36.48,37.01,4402969
2025-09-22,37.63,38.48,36.56,37.18,5856960
2025-09-23,37.25,38.48,36.55,37.56,7857604
2025-09-24,36.84,37.16,35.94,36.87,5552361
2025-09-25,36.83,38.13,36.72,36.86,4919768
2025-09-26,36.58,36.9,35.73,35.75,3342772
2025-09-29,35.6,36.35,35.5,35.91,2243684
2025-09-30,36.0,36.1,34.8,34.95,3982560
2025-10-09,35.01,35.17,34.43,34.6,3107793
2025-10-10,34.6,34.75,33.78,33.89,2750648
2025-10-13,32.65,33.36,31.79,33.08,3028141
2025-10-14,33.3,33.93,32.3,32.45,2786792
2025-10-15,32.67,33.27,32.36,33.1,1829120
2025-10-16,32.81,33.55,32.61,32.79,1787371
2025-10-17,32.99,33.17,32.08,32.2,1827051
2025-10-20,32.4,33.3,32.4,33.07,1526249
2025-10-21,32.99,34.28,32.84,34.02,2250061
2025-10-22,34.0,34.82,33.66,34.38,2513000
2025-10-23,34.1,34.67,33.85,34.3,1859520
2025-10-24,34.28,35.99,33.98,35.4,3991940
2025-10-27,35.61,36.5,35.01,35.4,2858660
2025-10-28,35.16,35.6,35.02,35.3,1910714
2025-10-29,35.54,35.6,34.95,35.59,2217073
2025-10-30,35.79,35.94,34.7,34.75,2716331
2025-10-31,34.62,35.22,34.43,34.78,1849164
2025-11-03,34.65,34.73,34.0,34.47,1776300
2025-11-04,34.2,34.54,33.46,33.7,1432120
2025-11-05,33.35,33.88,33.2,33.51,1294200
2025-11-06,33.52,34.16,33.39,34.02,1258340
2025-11-07,34.03,34.66,33.5,34.25,1350720
2025-11-10,34.27,34.65,33.51,33.78,1264120
