date,open,high,low,close,volume
2025-05-08,38.48,38.89,38.41,38.55,16193843
2025-05-09,38.49,39.1,38.48,38.84,22571597
2025-05-12,38.85,38.89,38.42,38.56,27826756
2025-05-13,38.62,39.26,38.38,39.05,28884456
2025-05-14,39.1,39.45,38.96,39.28,20527086
2025-05-15,39.35,40.07,39.34,40.06,34084006
2025-05-16,39.95,40.19,39.31,39.46,25146731
2025-05-19,39.46,39.88,39.17,39.18,17507387
2025-05-20,39.22,39.45,39.03,39.15,14698330
2025-05-21,39.23,40.4,39.22,40.1,33194093
2025-05-22,39.96,40.55,39.9,40.4,19492682
2025-05-23,40.28,40.53,39.53,39.7,22959490
2025-05-26,39.7,40.04,39.44,39.63,18496005
2025-05-27,39.71,40.05,39.52,39.52,16651560
2025-05-28,39.53,40.13,39.3,39.81,14828206
2025-05-29,39.82,39.97,39.63,39.79,15821304
2025-05-30,39.78,40.23,39.56,39.56,16610343
2025-06-03,39.24,39.5,38.91,39.17,27980401
2025-06-04,39.24,39.32,38.91,39.29,21502090
2025-06-05,39.33,39.97,39.24,39.3,18565420
2025-06-06,39.31,39.67,39.12,39.54,21129491
2025-06-09,39.5,39.71,39.25,39.5,18201492
2025-06-10,39.6,39.74,39.4,39.65,22756495
2025-06-11,39.59,39.93,39.55,39.7,20801594
2025-06-12,39.75,39.93,38.98,39.02,32784031
2025-06-13,39.22,39.37,38.97,39.26,27729170
2025-06-16,39.25,39.25,38.71,39.04,23671019
2025-06-17,39.04,39.57,38.76,39.5,25043632
2025-06-18,39.53,39.75,39.15,39.22,18377231
2025-06-19,39.09,39.46,38.73,39.39,29121190
2025-06-20,39.38,39.67,39.25,39.44,20968021
2025-06-23,39.49,39.98,39.2,39.85,21287073
2025-06-24,39.8,40.01,39.68,39.85,24485398
2025-06-25,39.86,40.2,39.63,40.15,21616931
2025-06-26,40.15,40.3,39.84,40.04,24562919
2025-06-27,39.98,40.18,39.79,39.93,24365811
2025-06-30,39.93,40.71,39.89,40.54,29214530
2025-07-01,40.55,41.05,40.3,40.94,20036948
2025-07-02,40.94,41.55,40.81,41.54,22333524
2025-07-03,41.69,41.7,40.33,40.4,28602253
2025-07-04,40.4,41.18,40.4,41.05,30294093
2025-07-07,38.79,38.79,37.57,37.7,46156722
2025-07-08,37.75,37.85,37.5,37.72,20188668
2025-07-09,37.72,37.93,37.5,37.5,20920104
2025-07-10,37.64,37.73,37.41,37.46,23544664
2025-07-11,37.46,37.77,36.8,36.8,43379798
2025-07-14,37.06,37.98,37.06,37.42,51491446
2025-07-15,37.47,37.94,37.25,37.47,26227333
2025-07-16,37.48,37.55,37.2,37.28,15148200
2025-07-17,37.27,37.34,36.97,37.13,17218477
2025-07-18,37.24,37.58,37.23,37.4,20778801
2025-07-21,37.51,37.84,37.37,37.77,25712961
2025-07-22,37.77,39.99,37.58,39.48,74518614
2025-07-23,39.68,40.18,38.71,38.82,50939959
2025-07-24,38.83,39.18,38.34,38.82,39150400
2025-07-25,38.82,38.91,38.36,38.43,23430400
2025-07-28,38.23,38.24,37.74,37.8,29503406
2025-07-29,37.7,37.97,37.68,37.82,17872893
2025-07-30,38.01,38.9,37.88,38.5,32979667
2025-07-31,38.28,38.3,37.6,38.16,35149739
2025-08-01,38.17,38.42,37.54,37.56,24439794
2025-08-18,41.32,41.32,39.01,39.23,126535324
2025-08-19,39.15,39.23,38.26,38.27,69450935
2025-08-20,38.18,38.64,38.02,38.63,42103498
2025-08-21,38.6,38.6,38.24,38.44,31827749
2025-08-22,38.44,38.5,38.15,38.5,34603245
2025-08-25,38.57,39.19,38.57,39.1,41922544
2025-08-26,39.13,39.19,38.81,38.83,27536173
2025-08-27,38.77,38.77,38.21,38.23,31391733
2025-08-28,38.11,38.16,37.63,37.9,30321880
2025-08-29,37.9,38.3,37.46,37.47,51055468
2025-09-01,37.6,38.38,37.47,37.9,46962473
2025-09-02,37.9,38.35,37.66,38.16,42572666
2025-09-03,38.17,38.25,37.61,37.78,28124216
2025-09-04,37.68,38.38,37.24,38.17,47747580
2025-09-05,38.0,38.24,37.79,38.16,25457068
2025-09-08,38.16,38.3,37.88,38.05,31208503
2025-09-09,38.15,38.27,37.93,38.14,22152992
2025-09-10,38.1,38.55,37.94,38.17,29549166
2025-09-11,38.2,38.32,38.03,38.28,28099182
2025-09-12,38.32,38.42,37.65,37.76,44731893
2025-09-15,37.75,38.24,37.68,38.19,33699567
2025-09-16,38.3,38.78,38.3,38.41,42723298
2025-09-17,38.33,39.13,38.3,38.98,45927949
2025-09-18,38.95,38.97,38.12,38.28,34589290
2025-09-19,38.27,38.85,38.11,38.6,35024415
2025-09-22,38.73,38.98,38.3,38.51,27109297
2025-09-23,38.36,38.96,38.17,38.86,33017401
2025-09-24,38.73,39.16,38.65,38.95,28500609
2025-09-25,38.93,38.93,38.45,38.72,19818486
2025-09-26,38.8,38.91,38.52,38.76,21539186
2025-09-29,38.58,38.75,38.0,38.35,32027805
2025-09-30,38.33,38.6,38.03,38.5,23886334
2025-10-09,38.28,39.46,38.27,39.44,43382921
2025-10-10,39.43,40.04,39.0,39.77,39260957
2025-10-13,39.46,40.2,39.12,39.95,44111732
2025-10-14,39.9,40.88,39.68,40.65,47524637
2025-10-15,40.64,41.12,40.34,40.86,37953731
2025-10-16,40.75,42.11,40.6,42.01,48524335
2025-10-17,41.97,42.66,41.65,41.9,45477045
2025-10-20,41.79,42.45,41.58,42.23,37973394
2025-10-21,42.23,42.23,41.05,41.8,45736306
2025-10-22,41.8,42.19,41.63,42.14,27413031
2025-10-23,41.98,42.6,41.98,42.22,25763279
2025-10-24,42.29,42.7,42.01,42.5,27432283
2025-10-27,42.0,42.92,41.13,42.69,34529883
2025-10-28,42.69,43.07,42.4,42.59,21464184
2025-10-29,42.48,42.5,41.95,42.14,21904041
2025-10-30,42.31,43.81,42.2,43.04,38578085
2025-10-31,43.25,43.46,42.26,42.51,22777308
2025-11-03,42.8,43.95,42.66,43.42,27729157
2025-11-04,43.5,43.95,43.33,43.52,22824364
2025-11-05,43.4,44.07,43.38,43.58,24574559
2025-11-06,43.58,44.39,43.38,43.99,28412845
2025-11-07,43.96,44.12,43.46,43.73,23188978
2025-11-10,42.9,43.49,42.51,43.15,22156337
2025-11-11,43.13,43.21,42.36,42.8,20993749
2025-11-12,42.76,43.25,42.6,42.6,19841174
2025-11-13,42.69,42.85,42.02,42.62,21778201
2025-11-14,42.76,43.06,42.05,42.09,16836712
2025-11-17,42.06,42.74,41.52,42.4,23133692
2025-11-18,42.24,42.58,41.85,41.91,17641789
2025-11-19,41.85,42.76,41.66,42.52,17667643
