date,open,high,low,close,volume
2025-05-22,115.5,120.99,114.9,117.72,32063179
2025-05-23,117.1,118.51,115.47,115.93,19282435
2025-05-26,117.0,117.6,113.4,115.76,21183155
2025-05-27,114.12,115.05,108.88,112.13,36662379
2025-05-28,81.03,85.8,81.03,84.62,58052498
2025-05-29,86.0,89.88,85.0,87.16,62556630
2025-05-30,85.0,88.57,84.51,88.27,38726535
2025-06-03,87.15,88.16,85.84,86.36,30870325
2025-06-04,88.5,93.88,88.5,92.55,63843108
2025-06-05,94.4,98.46,92.33,96.9,55507036
2025-06-06,95.9,101.26,94.97,99.73,46692504
2025-06-09,103.0,103.97,98.98,100.87,58334592
2025-06-10,99.2,101.47,98.53,99.6,41723696
2025-06-11,100.15,100.7,97.96,98.36,36102646
2025-06-12,97.76,104.14,97.13,100.81,59807967
2025-06-13,99.11,102.81,98.88,100.05,32909580
2025-06-16,99.6,108.2,99.6,106.7,58445551
2025-06-17,107.0,108.67,105.11,107.12,36414888
2025-06-18,106.09,112.56,104.53,112.22,56397702
2025-06-19,110.5,114.89,110.5,113.0,44547661
2025-06-20,113.97,113.97,108.2,110.01,43076037
2025-06-23,108.07,109.96,104.72,107.28,39966670
2025-06-24,108.38,109.97,105.9,106.71,35081527
2025-06-25,109.9,110.99,106.68,110.4,51364715
2025-06-26,111.9,117.99,111.0,116.8,55644459
2025-06-27,115.8,124.66,113.88,123.18,60622536
2025-06-30,124.7,128.39,121.38,127.02,59381141
2025-07-01,125.03,128.8,124.89,127.2,28989671
2025-07-02,124.92,125.58,121.3,124.98,35024403
2025-07-03,127.42,130.97,126.05,129.66,45725982
2025-07-04,129.82,132.28,127.33,128.35,43903020
2025-07-07,126.5,128.89,121.4,126.49,40760076
2025-07-08,126.48,135.0,126.05,134.98,47831456
2025-07-09,134.55,137.97,134.01,135.55,35895657
2025-07-10,137.55,138.58,129.35,133.05,52501876
2025-07-11,134.29,134.35,130.05,131.16,31889434
2025-07-14,132.5,133.1,129.38,130.9,30361222
2025-07-15,149.02,157.08,148.28,157.08,52532323
2025-07-16,161.71,179.28,161.0,169.8,114938625
2025-07-17,167.01,185.0,167.01,183.5,67776128
2025-07-18,186.5,191.0,180.0,182.32,64348991
2025-07-21,184.83,186.6,173.79,178.26,60642007
2025-07-22,178.27,184.2,174.83,176.71,56295828
2025-07-23,172.61,175.55,169.8,174.2,43195628
2025-07-24,176.71,177.33,167.59,172.8,52664231
2025-07-25,172.3,175.73,172.2,172.97,28681657
2025-07-28,172.96,179.76,170.18,177.8,64744705
2025-07-29,178.27,194.43,178.23,193.39,77588423
2025-07-30,188.0,192.37,183.83,190.35,57108186
2025-07-31,199.0,200.88,188.1,189.21,74911172
2025-08-01,185.14,191.6,180.44,183.12,50586343
2025-08-04,179.64,185.34,177.83,184.5,33370543
2025-08-05,189.0,190.01,176.3,182.45,44216574
2025-08-06,180.0,187.58,179.11,186.4,30918074
2025-08-07,186.4,189.46,176.42,183.62,40613292
2025-08-08,183.0,185.58,180.88,182.28,26191517
2025-08-11,182.33,196.3,182.32,192.89,41604654
2025-08-12,193.38,205.0,193.2,204.9,51786686
2025-08-13,206.0,238.6,204.61,236.56,60112024
2025-08-14,233.3,239.8,230.66,231.06,44975726
2025-08-15,230.01,237.21,226.89,233.2,40048328
2025-08-18,233.34,251.66,227.86,244.29,49904050
2025-08-19,244.29,263.6,241.52,256.79,45117554
2025-08-20,247.0,255.48,236.22,255.14,41824052
2025-08-21,255.81,262.6,246.22,257.86,39730356
2025-08-22,254.21,279.0,254.21,273.81,46022274
2025-08-25,283.32,304.08,275.78,296.12,58709956
2025-08-26,298.0,300.9,282.04,282.04,48995724
2025-08-27,290.09,324.42,290.09,308.33,73510829
2025-08-28,301.8,355.19,301.8,354.95,73004179
2025-08-29,350.0,368.0,337.0,356.2,60879725
2025-09-01,362.0,399.9,352.01,388.5,66046191
2025-09-02,388.0,401.1,345.0,358.2,92619589
2025-09-03,355.0,382.0,345.8,369.71,73612607
2025-09-04,383.0,393.71,309.0,312.1,104140314
2025-09-05,321.0,354.0,310.0,349.25,84643485
2025-09-08,339.99,340.0,295.16,314.5,79476720
2025-09-09,307.02,320.31,305.0,315.32,53004985
2025-09-10,340.01,346.88,321.37,334.95,74575156
2025-09-11,345.99,381.52,345.0,379.9,76090353
2025-09-12,360.0,365.99,352.8,357.98,57941996
2025-09-15,343.01,355.98,338.0,350.3,37752426
2025-09-16,348.94,357.88,332.33,345.75,51092822
2025-09-17,343.08,352.26,336.0,347.66,34392971
2025-09-18,339.02,359.89,333.88,345.51,52509056
2025-09-19,350.9,358.47,336.97,350.0,44482040
2025-09-22,348.0,348.0,328.88,343.0,41011855
2025-09-23,361.11,369.8,338.0,353.0,55574690
2025-09-24,344.02,363.99,333.8,354.64,43971560
2025-09-25,348.23,385.88,341.0,376.0,56432193
2025-09-26,376.13,388.41,372.0,374.0,38610713
2025-09-29,370.11,398.6,370.11,388.28,41373209
2025-09-30,389.0,395.0,363.0,365.77,49588233
2025-10-09,374.0,374.77,350.0,351.15,52292141
2025-10-10,355.01,365.56,345.21,346.2,43954136
2025-10-13,328.12,348.6,325.2,348.6,44351947
2025-10-14,355.7,355.7,315.68,316.5,61231792
2025-10-15,321.3,324.33,310.0,322.59,35521127
2025-10-16,317.81,336.0,317.03,324.76,31175370
2025-10-17,322.5,326.66,314.22,316.31,30653561
2025-10-20,335.01,345.75,324.58,329.24,48732624
2025-10-21,330.01,375.58,324.33,365.42,61468967
2025-10-22,360.31,373.77,360.31,362.83,38918229
2025-10-23,360.2,363.0,340.0,347.76,33456268
2025-10-24,355.0,378.2,345.01,372.97,54893569
2025-10-27,390.0,414.0,381.0,403.95,58161738
2025-10-28,395.0,423.2,395.0,410.62,48021506
2025-10-29,428.0,433.33,399.31,406.1,56357787
2025-10-30,382.0,394.87,372.48,374.0,78561225
2025-10-31,371.84,373.0,342.1,344.31,58400410
2025-11-03,339.98,350.5,335.85,346.76,38702931
2025-11-04,349.11,359.63,345.0,348.04,34639620
