排名,代码,股票代码,名称,最新价,涨跌幅,成交额,换手率,市盈率,市净率,总市值,流通市值,动量得分,动量排名,信号日期
1,sz000636,636,风华高科,59.91,8.828,11121450011,16.41871,239.64,5.553,6931666.147101,6931665.548001,75.1142,1,20260603
2,sz300975,300975,商络电子,43.41,12.724,4482618810,21.82745,97.947,11.232,2982291.326964,2146736.775624,72.5625,2,20260603
3,sz002552,2552,宝鼎科技,60.78,4.92,2136252983,9.55031,196.065,15.059,2358174.841818,2239762.990542,65.0655,3,20260603
4,sz003004,3004,声迅股份,71.65,9.09,638244478,13.707,-504.577,9.293,586549.749185,492537.60506,62.6015,4,20260603
5,sh600162,600162,香江控股,3.21,9.932,560450741,5.47403,-118.45,1.832,1049168.637162,1049168.637162,62.4509,5,20260603
6,sh688146,688146,中船特气,192.0,12.948,4268286890,16.00564,295.385,17.323,10164705.888,2783440.1664,61.0637,6,20260603
7,sh603678,603678,火炬电子,58.61,10.004,2688520938,10.10877,86.191,4.529,2787296.024291,2787296.024291,58.5176,7,20260603
8,sh688143,688143,长盈通,175.0,14.133,1626547991,8.03868,921.053,16.628,2253664.035,2141552.455,56.8148,8,20260603
9,sh688260,688260,昀冢科技,92.1,11.205,708481504,6.6738,-58.148,68.435,1105200.0,1105200.0,55.0197,9,20260603
10,sz002484,2484,江海股份,83.46,5.445,5640042313,8.34975,104.338,11.047,7098472.811586,6847661.52369,54.8712,10,20260603
11,sh603773,603773,沃格光电,122.0,6.56,4999057031,19.13988,-171.589,25.965,2742030.9226,2741079.3226,53.5675,11,20260603
12,sz301013,301013,利和兴,53.5,15.551,3594664127,37.65555,-74.306,18.685,1250525.3496,1012442.7633,53.5114,12,20260603
13,sz301319,301319,唯特偶,112.67,3.414,1472066043,10.51972,177.015,16.728,2034317.443926,1528005.876537,52.0234,13,20260603
14,sz301563,301563,云汉芯城,211.7,19.998,1808351205,49.37481,113.209,14.163,1792060.14576,405102.66315,51.5432,14,20260603
15,sz300835,300835,龙磁科技,195.9,14.696,1608392440,10.55581,136.042,18.364,2336059.3086,1628794.97595,51.43,15,20260603
16,sz002579,2579,中京电子,20.76,10.016,3090989967,26.41407,519.0,5.293,1271796.25512,1211163.091944,50.9515,16,20260603
17,sh603011,603011,合锻智能,28.99,5.764,3976650538,29.64214,-57.98,7.689,1433307.452863,1433307.452863,47.416,17,20260603
18,sz003036,3036,泰坦股份,67.8,-5.571,1111533254,7.69547,308.182,10.327,1466455.27164,1466417.64264,45.3482,18,20260603
19,sh600367,600367,红星发展,38.84,9.997,1137411913,9.50528,143.852,5.323,1324952.423368,1250543.838888,44.7314,19,20260603
20,sh688300,688300,联瑞新材,183.52,5.169,2076105999,4.67833,151.669,24.941,4431442.57488,4431442.57488,44.4595,20,20260603
