排名,代码,股票代码,名称,最新价,涨跌幅,市盈率,市净率,总市值,换手率,成交额,综合得分
1,sz300750,300750,宁德时代,433.89,3.283,26.883,5.619,200739609.93503,0.91077,16719046201,86.27010639774537
2,sh601138,601138,工业富联,80.01,8.488,44.949,9.01,158772582.36428,1.9043,29404852121,85.53477231598501
3,sh601398,601398,工商银行,7.34,0.548,7.34,0.664,261602192.70333,0.11736,2326193349,85.39983093572242
4,sh601939,601939,建设银行,10.18,0.992,7.831,0.751,266309188.32526,1.06153,1039897823,85.28874356808927
5,sz300308,300308,中际旭创,1191.81,5.47,121.613,37.338,132876111.47357,2.61409,34167017420,85.1832863201695
6,sh601288,601288,农业银行,6.45,-0.616,8.269,0.799,225739056.84809,0.10083,2086288151,82.58005539051132
7,sh600941,600941,中国移动,100.42,1.537,15.814,1.529,217602250.64329,1.05727,955025962,81.43872120869477
8,sh601857,601857,中国石油,10.66,-1.479,12.395,1.201,195100362.35399,0.14537,2540576009,80.3469790800263
9,sh601988,601988,中国银行,5.97,0.675,8.068,0.704,192360809.85296,0.15642,1976798793,80.03933558791849
10,sh600519,600519,贵州茅台,1307.22,-0.182,19.909,6.032,163413167.04592,0.29088,4769963104,78.68815833392082
11,sh600938,600938,中国海油,35.18,1.034,13.689,1.997,167210378.11571,1.3962,1478894943,77.95181644026252
12,sh688981,688981,中芯国际,132.48,0.03,210.286,7.086,106158475.90829,4.61945,12256037221,77.12438940846874
13,sz300502,300502,新易盛,747.0,9.882,77.732,36.506,74393553.1104,4.32064,28143777060,75.10337891276424
14,sh603986,603986,兆易创新,474.69,1.429,191.407,13.168,33280632.246519,7.33992,23013728744,74.83631490767878
15,sz002475,2475,立讯精密,74.0,4.653,32.314,6.109,53965702.9884,3.19629,16748451139,74.66625640961227
16,sh601899,601899,紫金矿业,31.58,4.604,16.195,4.257,83973476.776276,1.61792,10347790078,74.34915439237493
17,sh600036,600036,招商银行,38.8,1.571,6.807,0.864,97853000.93188,0.60932,4860567502,74.16294607564103
18,sh601318,601318,中国平安,54.08,0.427,7.042,0.962,97926127.90896,0.73634,4245154925,74.03457239576593
19,sh601088,601088,中国神华,48.24,-1.551,18.135,2.176,104629831.0825,0.34374,2761140882,73.5833557377018
20,sz002594,2594,比亚迪,96.76,3.321,27.028,3.804,88218003.63894,1.5917,5321331038,73.00760746378496
